"id";"Gender";"Age";"Driving_License";"Region_Code";"Previously_Insured";"Vehicle_Age";"Vehicle_Damage";"Annual_Premium";"Policy_Sales_Channel";"Vintage";"Response"
1;"Male";21;0;34;0;"< 1 Year";"Yes";3634800;152;130;0
2;"Male";22;1;28;1;"< 1 Year";"No";28150;160;217;0
3;"Female";23;0;28;0;"< 1 Year";"Yes";34971;160;101;0
4;"Female";26;1;28;0;"< 1 Year";"Yes";38858;152;19;1
5;"Female";50;0;41;0;"1-2 Year";"Yes";40951;26;114;0
6;"Female";31;1;35;0;"< 1 Year";"Yes";2630;26;105;0
7;"Female";35;1;28;0;"1-2 Year";"Yes";27946;156;175;1
8;"Male";31;1;28;1;"< 1 Year";"No";31326;152;162;0
9;"Female";59;0;41;0;"1-2 Year";"Yes";38447;26;260;0
10;"Female";21;1;30;1;"< 1 Year";"No";23731;152;136;0
11;"Female";62;1;48;1;"1-2 Year";"No";2630;124;281;0
12;"Male";51;1;15;0;"1-2 Year";"Yes";46194;26;63;0
13;"Female";39;1;28;0;"1-2 Year";"Yes";26143;124;153;1
14;"Male";39;0;7;0;"1-2 Year";"Yes";33300;124;972;0
15;"Female";21;1;30;0;"< 1 Year";"Yes";36866;152;203;0
16;"Female";71;1;25;1;"< 1 Year";"No";26249;160;255;0
17;"Female";42;1;41;0;"1-2 Year";"Yes";35684;154;178;1
18;"Female";48;0;45;0;"1-2 Year";"Yes";30517;124;3058;0
19;"Female";25;1;15;1;"< 1 Year";"No";2630;152;215;0
20;"Male";87;1;3;0;"1-2 Year";"Yes";25437;156;117;0
21;"Female";37;1;32;0;"1-2 Year";"Yes";39959;152;239;0
22;"Male";54;1;29;0;"1-2 Year";"Yes";37954;26;271;0
23;"Female";31;1;30;0;"1-2 Year";"Yes";31927;124;254;0
24;"Male";39;1;46;0;"1-2 Year";"Yes";28225;124;239;1
25;"Female";45;1;28;0;"> 2 Years";"Yes";29381;26;161;0
26;"Male";47;1;39;1;"1-2 Year";"No";41003;26;277;0
27;"Female";38;1;39;0;"1-2 Year";"Yes";26692;26;278;1
28;"Male";28;0;28;0;"< 1 Year";"Yes";2950600;124;180;0
29;"Female";62;0;28;0;"1-2 Year";"Yes";3811300;26;239;0
30;"Male";23;1;50;1;"< 1 Year";"No";25081;152;39;0
31;"Male";32;1;41;0;"1-2 Year";"Yes";2630;156;106;1
32;"Male";71;1;12;1;"1-2 Year";"No";2630;26;252;0
33;"Male";66;1;28;1;"1-2 Year";"No";2630;122;110;0
34;"Male";35;0;39;0;"1-2 Year";"Yes";44235;124;247;0
35;"Female";23;1;47;0;"< 1 Year";"No";30400;152;290;0
36;"Male";79;1;10;0;"1-2 Year";"Yes";33351;156;226;1
37;"Female";24;1;32;1;"< 1 Year";"No";2630;152;103;0
38;"Female";31;0;22;0;"< 1 Year";"Yes";2630;156;210;0
39;"Female";41;1;15;0;"1-2 Year";"Yes";2630;124;119;0
40;"Female";34;1;8;0;"1-2 Year";"Yes";2630;152;396;1
41;"Male";50;0;43;0;"> 2 Years";"Yes";2630;26;151;0
42;"Male";38;1;8;1;"1-2 Year";"No";28521;124;129;0
43;"Male";41;1;46;0;"1-2 Year";"Yes";33977;26;211;0
44;"Male";36;1;12;0;"1-2 Year";"Yes";25310;163;243;1
45;"Male";42;1;46;0;"1-2 Year";"No";30830;124;168;0
46;"Female";31;1;28;0;"< 1 Year";"Yes";40734;124;18;1
47;"Female";45;1;37;0;"1-2 Year";"Yes";32915;26;282;1
48;"Male";22;1;12;0;"< 1 Year";"Yes";2630;152;159;1
49;"Male";73;1;28;0;"1-2 Year";"Yes";32091;54;78;0
50;"Female";40;1;8;0;"1-2 Year";"Yes";2630;157;137;1
